Sample,Sample No,Co59,Ni60,Cu65,Zn66,As75,Mo95,Ag107,Sb121,Te125,Au197,Tl205,Pb208
20220120_Hy55-A2 - 3,Hy55,247.9494735,230.2692207,704.5321385,59.83505363,225.6871025,6.560803858,1.238162156,80.5738765,1.58947754,0.029882096,3.470071334,192.6491353
20220120_Hy55-A2 - 4,Hy55,207.4019817,211.0112644,648.1031329,58.93774809,198.2698211,6.187239113,0.967756748,62.84015332,1.219798231,0.024137628,2.578688224,162.372362
20220120_Hy55-A2 - 5,Hy55,203.8468609,204.9866929,692.0267746,58.19692818,171.1340743,3.583271888,0.793156657,44.69234444,0.470404465,0.011248002,1.925573369,131.1854908
20220120_Hy55-A2 - 6,Hy55,398.5119538,271.6209431,757.1079953,81.36578349,264.8659537,4.610735333,0.850493132,89.38739947,1.70083647,0.019571075,4.601165992,174.9928056
20220120_Hy55-A2 - 7,Hy55,290.8638385,223.6841042,722.7992949,62.42181425,196.6243383,1.994316493,0.945618273,61.57873841,1.153441272,0.021060956,2.611597706,159.6141633
20220120_Hy55-A2 - 8,Hy55,216.6868279,228.6018826,678.8194397,41.58000047,152.3346144,2.094973388,1.048667415,42.45119851,1.659696158,0.01867925,1.941054322,152.6129514
20220120_Hy55-A3 - 1,Hy55,331.9305147,247.8560184,769.1377617,60.94078605,223.1212236,2.013458805,0.620149188,64.57508568,1.025399927,0.051018344,8.471226861,162.8450522
20220120_Hy55-A3 - 2,Hy55,320.6108524,258.8765874,743.7298891,59.0979007,258.637227,4.279963713,1.29756911,100.5788222,1.132748607,0.047065425,4.023072299,233.7743645
20220120_Hy55-A3 - 3,Hy55,292.1241726,206.5716433,650.5319233,90.67504862,261.7419777,6.135063544,0.692080268,85.27695827,1.130402473,0.04959479,5.931312547,138.2082656
20220120_Hy55-A3 - 4,Hy55,372.1719635,248.0316896,676.8346006,76.93522828,277.9807893,6.880064612,0.584049672,91.10584827,1.426581744,0.002984187,5.39584489,149.6154422
20220120_Hy55-A3 - 6,Hy55,222.4174932,206.0036796,603.7804551,55.4209932,171.2784405,1.117526765,1.789649314,52.06581963,1.109461662,0.060320324,2.380466914,188.8071785
20220120_Hy55-A3 - 7,Hy55,202.8826516,197.3755626,606.1690025,48.22532774,183.4540123,3.787037804,1.411497284,71.33323267,1.683808345,0.05834123,2.874692919,198.9040192
20220120_Hy55-A3 - 8,Hy55,204.8585759,190.458761,597.8135996,52.89338405,165.1667111,3.984716712,1.793635317,70.72633296,1.250856075,0.06346128,2.763457958,183.2889367
20220120_Hy55-A3 - 9,Hy55,185.9543553,195.1552195,593.7117913,43.76577705,172.5509229,2.261469268,1.486365844,66.93592758,0.596008919,0.01324842,2.331662607,195.5819116
20220120_Hy55-A3 - 10,Hy55,157.8912516,204.8574797,545.758933,22.30570144,181.2142481,0.713518684,1.571479554,44.92499375,1.174629682,0.027558295,1.925825151,145.5809722
20220120_JLW76-A1 - 1,JLW76,0.023374036,29.43518016,240.6682544,5.878801068,3635.721218,22.95642945,0.29923201,14.26490115,0.104988697,0.214383601,0.055082718,73.90660737
20220120_JLW76-A1 - 2,JLW76,1.243883136,3.141122058,4.563752539,5.1796089,4.556634736,0.055965585,0.036050007,0.310193679,0.143570818,0.050922576,0.020113963,0.106424586
20220120_JLW76-A1 - 3,JLW76,5.45737862,12.02979981,14.03896588,6.271292242,26.31215612,0.028606736,0.041829752,1.916047722,0.18414334,0.040619679,0.069348036,0.498584446
20220120_JLW76-A1 - 4,JLW76,0.1872648,9.957677175,27.52240953,4.783597669,952.943897,0.890760559,0.221573052,0.792229604,0.091305384,0.071366833,0.015358161,12.24832518
20220120_JLW76-A1 - 6,JLW76,4.177053885,11.64076351,13.87663961,6.711656044,27.18309648,0.270073973,0.18256489,0.367193591,0.213145071,0.03110632,0.022455232,1.401269892
